lat,lng,img_href,name
8.299017,124.606,https://lh6.googleusercontent.com/proxy/whmwaawgdJnAI40uWDtARdCzOL1EFMHHdLc9b8gutDVSAX4LjYdtcW6bQuDpd6izEQ,Langaon_30.0
8.299667,124.5981,https://lh6.googleusercontent.com/proxy/6t537pYivRDcYzqx6AQiLsbTdqaPopATt-ZCpsvrrfq6Cg-giJ0HkJP2X5hVTbXCnA,Langaon_31.0
8.297533,124.5983,https://lh6.googleusercontent.com/proxy/UIACroRpGK9lEkXDGcXglYnd-QZQwjbPH6AJQR8A7efQRG_QLHj4-aFGz5Cqb6MT7A,Langaon_32.0
8.296133,124.5988,https://lh6.googleusercontent.com/proxy/5xlZz3OrbSrrkQOyZiIq5PMZNnHZ6qaPIjSKVWdxIba-91iQJUhSTEs3BdZ_DFyOlw,Langaon_33.0
8.2998,124.5982,https://lh6.googleusercontent.com/proxy/5HxJ3SBhunzpYeQ73D2NZ-bnLH0Bvihyl0cDcXmyg7bnzAAkzpX6692C6pzaZGYUtA,Langaon_34.0
8.300217,124.5998,https://lh6.googleusercontent.com/proxy/FnqYKeMq9fzsneHliDvQxCveZ1vqTpXgORvLWIx3_LJyrFgXW-zQ_1ulBsbdOOOLag,Langaon_35.0
8.29615,124.5988,https://lh6.googleusercontent.com/proxy/h1zG5x0kjRQeidtCj_kPc9cUfAW-GObmRxJpHByoXGGiFjfW_RsC4a3TOPPnjWuBcg,Langaon_36.0
8.536535,124.3129,https://lh6.googleusercontent.com/proxy/ROyTgLIa23LRhNzWfV1VSRruAOVaK41KTe8zqUp9b2WC1OjKOk4QDCrvwhMxY5rQYA,Bobutan_5.0
8.536327,124.3129,https://lh6.googleusercontent.com/proxy/j5ZC_dFxViDvBFXJZAMyH1324p3cERz2-9kP_YVZ0N69V4yh79wZEpmXJzY4uawtcw,Bobutan_6.0
8.53656,124.3129,https://lh6.googleusercontent.com/proxy/iSVT1p0Rq8S5nZeo4Li-wdRysMHCA2WJFPoglf-zMnmaq6CsvR3_Il8tk_hZJuQvqg,Bobutan_7.0
8.53646,124.313,https://lh6.googleusercontent.com/proxy/uooUfK3W27HcOsUSZVUfCjz7f9xaa3k78Z_b_B30fEgFIadNvo8K-87UEUrUt6Gm8A,Bobutan_8.0
8.536451,124.313,https://lh6.googleusercontent.com/proxy/Pi10XhDCatPiM90cRaG6T0w0voy3SIMzryNEofrlSbPJTKrPpc9B7rVIU34z8c9sow,Bobutan_9.0
8.536435,124.3129,https://lh6.googleusercontent.com/proxy/5rBXBm37RYtph8sBL3IpK0tWEKrg2A27SzDg4mYio0P30Wv0LrMC7jvdg3B0yQxwUQ,Bobutan_10.0
8.536434,124.3129,https://lh6.googleusercontent.com/proxy/m4hBKWKvHOEwojabcA-w-KwaZhx0V3PEpxKfbBs7Hff5Wx8YgoqLROKvaRPLjrONSQ,Bobutan_11.0
